Name,URL,catalogID
Calamus Reservoir and Virginia Smith Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2257,2257
Canyon Ferry Lake Dam Powerplant and Helena Valley Pumping Plant Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (2),https://data.usbr.gov/catalog/2265,2265
Carter Lake Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2258,2258
Cawker City Dike Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (1),https://data.usbr.gov/catalog/2263,2263
Choke Canyon Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (2),https://data.usbr.gov/catalog/2261,2261
Clark Canyon Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (6),https://data.usbr.gov/catalog/2264,2264
Davis Creek Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (2),https://data.usbr.gov/catalog/2281,2281
Deerfield Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (5),https://data.usbr.gov/catalog/2285,2285
Edward Arthur Patterson Lake and Dickinson Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (5),https://data.usbr.gov/catalog/2288,2288
Flatiron Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2301,2301
Fresno Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (5),https://data.usbr.gov/catalog/2307,2307
Gibson Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (7),https://data.usbr.gov/catalog/2312,2312
Glendo Reservoir Dam and Powerplant Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2315,2315
Grand Lake Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (2),https://data.usbr.gov/catalog/2314,2314
Gray Reef Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (2),https://data.usbr.gov/catalog/1,1
Green Mountain Reservoir Dam and Powerplant Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2225,2225
Guernsey Reservoir Dam and Powerplant Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (2),https://data.usbr.gov/catalog/2326,2326
Horsetooth Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2338,2338
Jamestown Dam and Reservoir Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (4),https://data.usbr.gov/catalog/2348,2348
Keith Sebelius Lake and Norton Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (4),https://data.usbr.gov/catalog/2359,2359
Keyhole Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (5),https://data.usbr.gov/catalog/2357,2357
Kirwin Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (5),https://data.usbr.gov/catalog/2360,2360
Lake Alice and Dams Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (4),https://data.usbr.gov/catalog/2236,2236
Lake Estes and Olympus Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2398,2398
Lake Frances Reservoir Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (2),https://data.usbr.gov/catalog/4,4
Lake Granby and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2321,2321
Lake Minatare and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (2),https://data.usbr.gov/catalog/2368,2368
Lake Nasworthy and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2390,2390
Lake Sherburne and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (6),https://data.usbr.gov/catalog/2443,2443
Lake Tschida and Heart Butte Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (5),https://data.usbr.gov/catalog/2371,2371
Lima Reservoir Upstream of Clark Canyon Reservoir Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2367,2367
Lovewell Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (5),https://data.usbr.gov/catalog/2373,2373
Marys Lake Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/4023,4023
Mcgee Creek Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2377,2377
Merritt Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (4),https://data.usbr.gov/catalog/2387,2387
Mount Elbert Forebay Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (2),https://data.usbr.gov/catalog/2388,2388
Nelson Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (4),https://data.usbr.gov/catalog/2393,2393
Pactola Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (4),https://data.usbr.gov/catalog/2413,2413
Pathfinder Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2402,2402
Pilot Butte Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2404,2404
Pinewood Reservoir and Rattlesnake Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2407,2407
Pishkun Reservoir and Dikes Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2412,2412
Pueblo Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2414,2414
Ruedi Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2425,2425
Seminoe Reservoir Dam and Powerplant Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2436,2436
Shadehill Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (5),https://data.usbr.gov/catalog/2444,2444
Shadow Mountain Lake and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2441,2441
South Fork Dike at Buffalo Bill Reservoir Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (2),https://data.usbr.gov/catalog/2241,2241
Sun River Diversion Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2451,2451
Swift Dam and Reservoir Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (5),https://data.usbr.gov/catalog/2458,2458
Turquoise Lake and Sugarloaf Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2466,2466
Twin Lakes Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (3),https://data.usbr.gov/catalog/2467,2467
Waconda Lake and Glen Elder Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (4),https://data.usbr.gov/catalog/2472,2472
Webster Reservoir and Dam Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (4),https://data.usbr.gov/catalog/2474,2474
Winters Creek Lake Missouri Basin and Arkansas-Rio Grande-Texas-Gulf (MB-ART) Water Operations Monitoring Data (2),https://data.usbr.gov/catalog/2475,2475
Colorado River At Cibola Gage Water Operations Monitoring Data from the Lower Colorado Hydrologic Database (2),https://data.usbr.gov/catalog/4376,4376
Colorado River At Parker Gage Water Operations Monitoring Data from the Lower Colorado Hydrologic Database (2),https://data.usbr.gov/catalog/4377,4377
Colorado River At River Section 41 Water Operations Monitoring Data from the Lower Colorado Hydrologic Database (2),https://data.usbr.gov/catalog/4378,4378
Colorado River At Taylor Ferry Water Operations Monitoring Data from the Lower Colorado Hydrologic Database (2),https://data.usbr.gov/catalog/4379,4379
Colorado River At Water Wheel Water Operations Monitoring Data from the Lower Colorado Hydrologic Database (2),https://data.usbr.gov/catalog/4380,4380
